split,app,signal_type,step_accuracy,episode_accuracy
iid,amazon,norm,61.34,15.00
iid,amazon,entropy,60.50,10.00
iid,clock,norm,70.41,20.00
iid,clock,entropy,73.47,25.00
iid,ebay,norm,67.20,20.00
iid,ebay,entropy,64.00,20.00
iid,etsy,norm,62.71,20.00
iid,etsy,entropy,63.56,20.00
iid,flipkart,norm,66.67,20.00
iid,flipkart,entropy,66.67,25.00
iid,google_drive,norm,56.25,5.00
iid,google_drive,entropy,56.25,0.00
iid,reminder,norm,53.94,0.00
iid,reminder,entropy,53.94,5.00
iid,youtube,norm,54.72,15.00
iid,youtube,entropy,58.49,15.00
ood,adidas,norm,51.85,0.00
ood,adidas,entropy,52.59,0.00
ood,calendar,norm,53.61,10.00
ood,calendar,entropy,54.22,10.00
ood,decathlon,norm,52.67,5.00
ood,decathlon,entropy,51.15,0.00
ood,gmail,norm,55.64,5.00
ood,gmail,entropy,54.14,0.00
ood,google_maps,norm,48.35,5.00
ood,google_maps,entropy,47.80,5.00
ood,kitchen_stories,norm,54.14,5.00
ood,kitchen_stories,entropy,53.38,0.00
